Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Matt Carpenter,Cardinals,129,566,21,81,68,0,14.30%,19.10%,0.235,0.307,0.271,0.38,0.505,0.375,136,-3.1,22,-8.2,3.3,8090
Curtis Granderson,Mets,150,633,30,88,59,4,11.70%,20.50%,0.228,0.254,0.237,0.335,0.464,0.339,116,1.9,14,-3.2,3.2,4747
Ender Inciarte,Braves,131,578,3,85,29,16,7.80%,11.80%,0.09,0.329,0.291,0.351,0.381,0.319,97,4.5,2,10.4,3.2,4922
Jonathan Villar,Brewers,156,679,19,92,63,62,11.60%,25.60%,0.171,0.373,0.285,0.369,0.457,0.356,120,3.5,20,-11.8,3.1,10071
Troy Tulowitzki,Blue Jays,131,544,24,54,79,1,7.90%,18.60%,0.189,0.272,0.254,0.318,0.443,0.327,104,-2.8,-0.1,10.7,3,3531
Bryce Harper,Nationals,147,627,24,84,86,21,17.20%,18.70%,0.198,0.264,0.243,0.373,0.441,0.343,111,2.2,10.5,-1.7,2.9,11579
Hanley Ramirez,Red Sox,147,620,30,81,111,9,9.70%,19.40%,0.219,0.315,0.286,0.361,0.505,0.367,127,-0.9,19.5,-11.7,2.9,8001
Eduardo Nunez,- - -,141,595,16,73,67,40,4.90%,14.80%,0.145,0.314,0.288,0.325,0.432,0.324,101,2.9,3.4,5.1,2.9,6848
Chris Davis,Orioles,157,665,38,99,84,1,13.20%,32.90%,0.239,0.279,0.221,0.332,0.459,0.34,113,4.1,14.2,-8.9,2.8,9272
Todd Frazier,White Sox,158,666,40,89,98,15,9.60%,24.50%,0.239,0.236,0.225,0.302,0.464,0.326,105,0.7,4.6,-0.5,2.7,785
Logan Forsythe,Rays,127,567,20,76,52,6,8.10%,22.40%,0.18,0.314,0.264,0.333,0.444,0.336,113,0.2,9,-1.6,2.7,7185
Didi Gregorius,Yankees,153,597,20,68,70,7,3.20%,13.70%,0.171,0.29,0.276,0.304,0.447,0.319,97,3.6,1.5,4.6,2.7,6012
Carlos Gonzalez,Rockies,150,632,25,87,100,2,7.30%,20.40%,0.207,0.346,0.298,0.35,0.505,0.361,110,-1.6,6,-0.5,2.6,7287
Chase Headley,Yankees,140,529,14,58,51,8,9.60%,22.30%,0.133,0.303,0.251,0.329,0.383,0.311,92,4.1,-1.2,8.9,2.6,4720
Yadier Molina,Cardinals,147,581,8,56,58,3,6.70%,10.80%,0.12,0.335,0.307,0.36,0.427,0.342,114,-7.5,2.3,4.5,2.6,7007
Brett Gardner,Yankees,148,634,7,80,41,16,11.00%,16.70%,0.101,0.31,0.261,0.351,0.362,0.317,96,7.1,4.2,-1,2.5,9927
Adam Duvall,Reds,150,608,33,85,103,6,6.70%,27.00%,0.257,0.275,0.241,0.297,0.498,0.333,104,0.9,3.7,1,2.5,10950
Marcell Ozuna,Marlins,148,608,23,75,76,0,7.10%,18.90%,0.187,0.296,0.266,0.321,0.452,0.33,109,-1,5.5,-0.9,2.4,10324
Rougned Odor,Rangers,150,632,33,89,88,14,3.00%,21.40%,0.231,0.297,0.271,0.296,0.502,0.336,103,3.9,6.2,-3.5,2.4,12282
Jake Lamb,Diamondbacks,151,594,29,81,91,6,10.80%,25.90%,0.26,0.294,0.249,0.332,0.509,0.352,114,4.4,14.4,-9.8,2.4,13329
Kevin Pillar,Blue Jays,146,584,7,59,53,14,4.10%,15.40%,0.109,0.306,0.266,0.303,0.376,0.295,82,1.6,-10.8,14.4,2.4,12434
Khris Davis,Athletics,150,610,42,85,102,1,6.90%,27.20%,0.277,0.27,0.247,0.307,0.524,0.349,122,-3.1,12.9,-10.4,2.4,9112
Carlos Beltran,- - -,151,593,29,73,93,1,5.90%,17.00%,0.217,0.315,0.295,0.337,0.513,0.358,122,-3.1,12.8,-9.8,2.3,589
